YearsExperience,Salary
10.0,70154.29
14.2,82783.7
1.1,42992.98
2.3,46732.97
1.5,44683.11
11.3,74309.32
5.2,55402.83
9.5,68748.27
1.4,44347.31
7.1,61646.06
2.4,46800.25
10.0,70141.28
5.6,57208.25
11.6,74770.08
6.3,58802.59
4.8,54095.23
9.4,68439.66
4.4,52825.2
6.4,58951.37
2.0,46014.9
4.2,52761.15
10.6,72076.82
4.8,54267.04
5.8,57834.75
2.6,47972.87
4.3,52682.21
14.9,84770.65
14.0,82314.55
4.6,53909.72
13.6,81212.5
6.5,59833.18
5.0,55084.36
14.1,82362.01
7.7,63427.62
5.7,57175.74
11.0,72731.44
8.7,65961.18
8.7,65720.84
10.5,71525.45
12.6,77739.17
4.5,53812.49
13.4,80216.5
13.0,78693.32
6.0,57809.11
1.2,43532.81
14.9,84707.63
12.1,76414.66
7.6,62479.25
4.6,53968.3
9.5,68813.66
14.5,83224.94
12.6,77846.12
4.9,55044.39
9.8,69610.75
8.5,65710.59
3.9,51524.24
1.4,43775.62
11.9,75634.53
10.2,70675.92
3.7,50874.86
1.2,43758.1
3.3,50346.38
3.2,49650.52
13.2,79713.79
9.5,68620.36
5.6,57082.6
12.0,75954.91
3.6,50387.24
4.9,54963.81
11.7,75243.58
2.9,48344.47
11.4,74207.45
8.2,64209.83
4.9,54428.58
8.7,66013.09
3.6,50831.55
4.7,54226.17
10.4,71607.94
2.0,46168.45
4.1,52114.76
13.1,78883.82
12.2,76627.54
13.1,79478.34
13.9,81343.71
7.5,62574.62
10.4,71537.24
11.8,75555.36
4.2,52169.58
14.0,81979.48
11.9,75871.79
9.4,67820.83
7.0,60588.87
2.2,46759.63
11.0,72844.93
4.5,53122.18
4.7,53731.7
7.0,60580.05
4.2,52190.29
13.7,81171.24
5.6,56408.82
1.3,43665.62
4.1,52622.28
3.4,50075.03
3.4,50501.8
4.5,53594.49
8.4,65403.14
6.2,58337.38
12.8,78163.45
2.4,47534.49
6.0,58040.23
6.8,60504.68
10.8,72890.31
10.3,71300.52
3.0,48917.81
4.3,53177.12
10.2,70817.28
13.5,80923.77
11.1,72933.02
10.1,69998.96
10.3,70938.38
5.9,57694.04
14.7,84156.84
5.2,55456.72
6.7,59821.84
11.1,72834.0
6.3,58929.43
2.8,48851.06
12.6,77439.89
11.9,75322.57
12.1,76053.89
8.2,64594.94
11.1,73186.76
10.7,71809.26
3.3,50258.68
2.9,48610.99
4.3,53345.4
6.3,58611.37
10.1,70026.71
4.5,53676.05
3.9,51506.83
10.0,69957.86
13.7,81382.59
10.2,70866.0
10.7,72358.79
6.3,58881.81
5.3,56312.26
12.7,77929.38
13.8,81390.02
4.3,52720.26
10.0,70070.32
11.2,74075.51
1.4,43832.59
3.1,49116.89
5.6,57161.89
7.2,61858.34
14.1,82167.5
3.4,50046.03
10.8,72622.62
12.0,75764.83
15.0,85022.58
1.5,44131.54
3.2,49741.64
3.8,51418.85
12.2,76358.76
8.3,64452.35
10.8,72504.09
9.0,67280.09
8.6,65753.86
6.6,59961.71
4.2,52881.47
6.2,58539.24
13.1,79568.94
10.8,72383.26
11.2,74012.18
5.7,57193.02
6.6,59653.53
4.0,51576.54
9.3,67452.36
7.1,61310.73
12.7,77975.98
13.2,79997.37
4.8,54813.02
7.4,61829.39
7.5,62673.73
9.3,67854.8
7.9,63695.26
13.1,78824.76
14.0,82239.5
1.6,44580.33
3.6,50950.83
10.5,71820.28
3.5,50271.86
5.9,58090.44
10.3,70679.79
1.7,45401.64
2.3,46756.75
2.3,46417.33
2.0,45564.07
2.1,45847.22
9.0,66543.58
8.9,67028.35
3.5,50837.74
8.7,65655.89
5.8,57239.87
4.2,52945.77
12.4,77205.88
5.3,55894.22
14.8,84218.95
12.2,76964.54
12.9,79125.89
8.0,63950.8
9.4,68067.25
3.3,50355.34
7.4,62555.7
3.2,49512.42
7.0,60720.17
11.4,74523.14
2.9,48798.2
2.5,47142.95
2.6,47391.14
10.4,71058.38
2.2,46202.32
4.8,54278.8
12.1,76407.91
7.4,61966.19
7.5,62212.4
1.6,44683.85
4.2,52595.93
8.7,66089.67
2.8,48503.08
13.4,79998.19
2.1,46044.34
15.0,84671.65
9.9,69667.54
8.0,64019.53
8.3,65172.02
3.5,50301.41
4.1,52446.06
3.7,51561.88
4.0,52354.49
11.8,75659.46
8.7,66430.07
2.4,47149.93
12.8,77997.41
14.5,83706.29
9.8,68954.29
3.4,49701.79
2.4,46985.27
15.0,84682.28
8.1,63986.24
12.0,75927.6
9.8,69861.59
8.9,66730.11
3.6,50753.09
8.7,65979.57
5.8,57365.38
12.3,76852.8
9.7,69282.37
14.7,84091.95
3.9,51636.08
4.5,53041.79
1.7,44722.41
7.5,62780.45
7.1,61752.31
9.7,69223.81
4.9,55171.24
7.5,62698.68
11.7,75431.75
9.7,68982.23
8.8,66518.78
14.3,83251.96
13.9,81711.86
3.7,51224.04
5.3,56172.67
1.6,44340.58
9.9,69898.58
9.1,67091.34
1.7,45385.83
11.8,74941.25
12.7,77862.71
8.5,65889.19
1.5,44165.03
13.1,78836.09
11.6,75264.57
7.2,61320.89
13.8,81140.84
14.2,82589.13
9.4,67972.33
11.2,73864.74
13.0,79190.8
10.5,71010.24
2.0,45840.84
11.8,75815.15
3.6,50755.09
10.3,70929.39
6.9,60375.02
2.4,47540.65
14.7,84450.22
7.5,62066.51
7.0,61486.31
12.1,76798.69
1.1,43697.54
7.1,60896.87
14.3,82603.94
10.0,69515.33
1.5,44977.81
12.5,77560.1
10.1,70335.02
2.7,48370.57
1.0,42597.93
8.1,64576.66
13.8,81352.64
4.9,55183.23
6.1,58122.82
4.3,53346.2
5.3,55681.07
7.8,63206.9
14.6,83883.84
9.4,68226.58
12.6,78051.42
11.8,75839.69
4.3,52460.8
12.3,77252.4
5.9,57340.83
1.9,45213.92
10.6,72000.23
12.9,78775.78
14.9,84795.24
2.6,48253.54
7.4,62056.13
14.4,83062.03
1.9,46148.99
8.4,64713.37
1.3,44351.47
9.0,66523.73
3.2,49977.49
6.9,61070.98
13.5,80766.55
7.0,61142.93
4.1,51948.84
6.8,60526.65
13.8,81417.25
11.9,76036.14
6.2,59026.95
14.5,83251.8
11.7,74874.28
5.8,57423.89
5.2,55580.2
10.1,70434.74
11.0,72998.59
13.9,81258.8
9.2,67141.46
7.5,62875.97
6.4,59118.55
10.9,72559.78
8.4,65230.65
12.1,75974.58
8.0,63506.34
13.8,81167.24
6.3,58410.25
12.7,77740.07
5.2,55748.11
2.6,47842.79
3.5,50410.47
1.4,44228.71
12.5,77699.77
8.0,64157.82
9.1,67422.04
14.0,82213.5
9.1,67549.33
10.8,72152.79
6.6,59670.31
3.8,51603.49
5.5,56940.71
13.5,80711.28
8.0,63673.12
1.6,44424.4
12.4,76970.08
4.0,52195.87
2.4,47036.0
2.0,46326.57
2.5,47792.47
10.5,71252.73
13.9,81995.74
13.9,81836.34
12.7,77628.68
12.6,77396.82
14.9,84756.6
6.1,58360.49
9.3,67515.71
8.8,66046.74
12.0,75520.1
3.3,49867.2
5.8,57701.91
1.9,45337.6
4.0,51513.19
7.4,62130.11
2.6,48025.69
6.8,60169.11
6.0,57528.85
12.2,76575.07
7.8,63879.08
8.7,66007.53
6.2,58730.53
12.4,77685.23
9.0,67011.5
11.5,74363.84
14.8,84665.11
3.1,49114.59
12.8,78104.65
14.3,83261.99
6.3,58975.06
1.8,45518.45
8.8,66619.09
7.5,62001.59
7.7,62924.6
6.8,60197.91
9.6,69111.91
7.1,61456.82
5.3,55584.21
6.7,59729.45
11.5,74164.35
4.4,53333.86
3.9,51458.43
13.5,80073.97
11.8,75707.59
2.3,46711.72
2.7,47666.61
5.4,56022.77
3.2,49113.99
9.5,68978.47
11.0,73216.27
7.0,61344.22
4.9,55046.6
12.9,78516.7
3.2,49763.29
2.5,47083.42
8.6,65701.56
13.6,81070.04
14.3,83335.8
8.9,66469.17
2.7,48378.16
7.1,61374.72
1.1,43249.33
7.2,61905.63
10.6,72206.07
6.6,59685.35
5.2,55813.73
13.7,81088.12
11.9,75271.93
11.2,73141.87
8.3,65213.42
1.3,43618.1
2.4,47108.73
10.2,71092.99
10.8,72653.71
8.5,65769.52
1.6,44427.47
9.8,69729.6
14.3,82435.76
10.0,70369.76
2.8,48604.29
10.6,71665.5
8.6,65965.95
3.5,50260.68
3.8,51405.6
14.9,84987.74
7.9,63755.65
8.4,64985.55
11.6,74395.28
6.5,59698.15
12.5,77565.01
8.3,65054.55
11.6,74934.58
6.4,58843.92
9.3,67603.36
8.0,64003.65
13.2,79500.56
4.6,53893.19
2.5,47253.38
1.6,44970.68
7.4,61904.31
11.3,74263.91
1.4,43951.27
4.7,54199.94
7.3,62232.02
1.1,43134.44
11.1,72866.31
6.9,60619.39
2.5,47784.29
3.3,49990.45
5.0,55460.84
9.3,67780.78
11.2,74094.6
7.3,62261.76
6.4,58857.6
2.6,47839.01
5.8,57286.25
11.9,75276.26
1.7,45100.05
11.9,75512.17
6.5,59682.3
6.7,60516.71
2.7,48527.39
14.3,83069.3
12.5,77515.12
11.5,74815.64
5.7,57280.82
13.8,81050.31
10.7,71879.36
1.7,45315.43
13.3,80095.83
14.7,84303.79
13.0,79467.24
12.1,76342.34
13.8,81066.18
13.5,80545.45
3.9,51313.15
2.3,46685.38
13.8,81413.51
10.4,71419.29
13.2,79463.83
6.9,61138.46
4.0,51997.34
14.4,83690.63
10.0,70130.71
4.5,53881.28
4.3,52814.79
14.7,84437.2
11.4,74360.74
14.2,82787.6
11.7,75111.85
2.8,48793.18
5.6,57213.63
9.8,68930.01
2.1,46135.82
14.4,82882.9
4.3,52726.75
8.4,64877.61
11.4,74368.83
6.9,60696.89
4.1,52445.36
4.3,52911.25
12.2,76359.42
10.3,71086.48
3.4,50665.75
14.2,83013.81
2.0,46460.36
5.8,57675.55
8.2,64589.5
12.9,78474.22
10.3,70921.6
9.2,67768.69
13.5,80819.07
7.0,61055.79
8.9,66525.97
12.9,78633.82
13.1,79620.09
2.2,47056.3
10.8,72764.21
11.4,74195.12
10.8,72301.38
6.3,59171.57
12.6,77656.04
8.7,65653.07
1.4,44147.86
12.5,77740.81
7.7,62928.74
8.5,65491.63
7.0,61378.64
5.6,56471.58
8.8,66617.34
10.3,70537.37
12.8,77983.01
14.0,81591.91
9.3,67510.68
10.9,72278.16
14.3,83202.66
3.5,50993.07
5.6,56537.0
1.7,44958.9
8.2,64399.51
6.6,59913.93
8.2,64573.36
1.5,44262.13
12.3,77023.27
3.9,51804.3
6.1,58454.11
9.2,67361.75
13.1,79176.55
1.6,44641.51
3.3,49533.75
11.5,74322.72
10.4,71357.57
7.8,63357.73
9.4,68697.88
15.0,84908.28
5.1,55520.83
7.7,63330.85
7.9,63812.56
7.5,62386.68
13.3,79590.14
7.8,63219.83
10.2,71071.45
8.2,64446.02
1.9,45912.51
7.8,63894.58
13.5,80867.93
14.3,82401.21
1.9,45862.82
8.9,66502.61
1.6,44936.86
6.3,58555.51
6.0,57968.49
14.6,83629.25
14.9,84999.37
5.8,57200.11
7.3,62399.79
14.3,82954.87
2.5,47751.77
1.9,46149.14
10.0,69531.29
1.7,44631.24
7.3,61538.68
6.9,60578.28
6.5,59668.95
11.0,72583.09
1.7,45258.44
1.1,43695.02
6.2,58169.51
3.5,50939.11
12.8,77933.21
10.2,70526.04
2.3,47343.13
1.5,44004.05
6.3,59070.16
3.6,50717.1
10.7,71666.42
9.6,68665.72
1.9,45294.28
14.2,83082.26
5.2,55430.37
11.6,74936.6
6.6,59392.3
1.7,45286.89
3.7,50855.37
10.7,71893.76
1.4,43956.53
4.6,53954.67
6.8,59917.95
8.4,64955.56
13.5,80935.87
9.1,67118.58
12.7,78584.73
3.1,49727.51
6.4,59584.75
4.3,53230.8
6.0,57682.7
10.1,70081.51
2.0,45572.14
1.0,43471.27
13.1,79559.37
12.8,78774.02
1.6,44682.13
8.3,65216.24
1.2,43152.92
6.7,59986.27
1.1,43611.76
2.8,48141.0
8.4,64932.24
13.6,80871.59
14.1,82069.17
5.8,57698.88
7.5,62514.95
12.1,75941.4
13.7,81086.51
7.0,60756.12
4.3,52802.37
4.3,52515.02
14.1,82483.66
12.6,77452.56
4.7,54507.06
4.8,54766.93
12.6,77911.33
10.0,69640.59
5.8,57487.27
13.9,81416.58
11.1,72970.13
7.5,62018.95
4.6,54216.54
11.2,73482.22
7.5,62693.06
12.4,77513.11
1.2,43947.87
8.0,64062.98
11.5,74181.2
13.4,80387.87
3.8,51137.52
12.8,78500.7
11.2,73804.44
7.9,63978.38
9.4,68137.17
8.3,65058.57
13.5,80341.68
9.5,68016.2
1.8,45422.07
1.7,45143.63
11.9,75426.29
6.6,60132.32
9.9,69268.79
4.0,51814.98
9.7,69018.68
2.7,47952.45
13.0,79314.91
7.8,62910.27
1.6,44631.6
3.8,51550.28
9.8,69038.08
1.4,44358.74
14.0,81881.92
13.5,80485.89
3.3,50105.51
10.7,72477.34
4.0,52434.42
13.8,81457.76
11.6,74533.22
3.9,51651.2
4.2,52890.37
12.8,78193.82
11.8,75035.77
7.6,63122.0
11.0,72595.76
1.3,44283.87
10.3,70939.66
11.4,74032.17
3.6,50375.26
4.9,54446.27
7.3,62088.36
4.0,52244.07
9.1,67491.87
9.8,68953.99
8.7,65758.99
12.5,77032.66
4.5,53811.43
14.3,82926.46
7.5,62418.41
7.6,62831.66
6.6,59935.06
10.1,69935.45
10.4,71386.38
7.8,63538.38
6.1,57843.88
13.7,80615.93
9.1,66822.85
4.0,52075.97
9.7,69472.03
11.4,74615.1
2.2,46391.69
12.3,76446.9
11.8,75120.26
12.6,77357.46
3.9,51869.99
3.2,49610.57
6.8,60749.18
5.5,56080.86
1.8,45794.64
15.0,85385.59
9.6,68982.42
8.2,64598.45
13.1,79313.04
12.9,78491.11
5.2,55239.52
1.7,44634.78
5.0,54771.31
5.2,55244.26
1.3,43746.21
4.8,54619.68
1.9,46018.67
13.4,80633.44
14.1,82354.21
5.5,56618.42
2.2,47016.04
3.2,49743.8
14.3,82681.05
13.0,79453.48
11.2,73158.81
4.9,54676.11
11.5,74566.99
11.5,74039.07
12.4,76831.92
1.3,43634.72
7.2,61323.82
12.0,76361.95
10.9,72683.6
9.8,69453.31
3.5,50130.41
14.9,84717.0
2.2,46420.06
1.3,43492.52
13.4,80492.85
14.9,84606.33
2.2,46334.96
6.2,59040.15
12.8,78583.62
14.4,82733.22
10.7,72469.16
5.1,54814.26
5.5,56025.77
12.2,76432.29
8.9,66722.04
4.7,54426.92
10.3,70444.02
4.4,52953.51
12.6,77746.63
7.1,61031.45
4.4,53555.32
13.1,79078.35
11.0,73164.03
12.4,76844.85
2.5,47795.47
12.5,77985.97
9.1,67242.31
10.5,71260.37
4.2,52634.03
11.8,75699.92
1.6,44401.16
12.2,76124.09
12.7,77874.24
8.2,64971.57
2.5,47078.12
6.4,59366.1
7.6,62362.87
10.1,70004.62
14.7,84489.98
9.0,67481.29
7.5,62887.53
5.5,56950.39
9.0,67300.51
12.5,77041.01
4.0,52096.21
11.8,75010.5
8.5,65333.95
3.7,50829.66
14.4,83167.98
1.7,44635.75
13.2,80003.09
14.0,81955.72
3.7,50817.71
11.5,74519.73
9.9,69469.31
11.1,73254.02
9.1,67024.44
12.1,76023.5
14.7,84139.75
7.8,63113.3
6.2,58625.98
8.3,64868.31
7.6,62823.35
11.7,74702.77
14.9,84558.31
2.6,47417.08
12.4,77593.24
6.7,59937.87
8.6,66068.04
11.0,73290.93
14.9,84219.92
10.0,70170.46
2.2,47085.77
5.1,54938.86
7.0,60984.91
5.9,57780.17
4.7,54394.86
3.3,50332.27
2.8,48390.11
11.4,73772.36
7.0,61213.82
14.4,83081.69
12.2,77068.98
11.2,73474.01
7.3,62068.53
6.4,59614.19
13.5,80668.23
6.9,60988.93
12.0,76147.41
5.9,57559.45
6.4,59437.32
10.0,69612.72
2.9,48599.43
13.1,79637.93
6.9,60350.37
11.2,73811.31
7.0,61284.76
13.6,80783.53
9.7,69006.14
8.5,65069.67
14.4,83270.19
14.8,84175.51
12.0,75937.8
1.7,45533.73
6.3,59377.93
9.8,69111.94
10.2,70703.62
8.0,64366.38
4.8,54198.85
12.4,77204.73
5.0,54938.0
1.1,43539.21
3.8,51274.74
2.0,46203.29
2.1,46746.3
6.3,58997.6
10.1,69946.99
10.0,70187.49
6.5,59739.41
6.5,59436.43
12.4,77148.22
2.4,47139.68
1.1,43129.46
5.7,56979.96
1.8,45687.7
10.1,69860.31
7.9,63983.33
10.0,70438.98
7.2,61564.98
13.7,81345.72
11.7,75348.4
2.3,46901.93
3.6,51013.74
8.2,64640.05
14.4,82800.01
6.2,58256.07
10.9,72902.18
10.1,70009.09
5.4,55921.13
11.6,74765.88
4.7,54100.92
6.4,59286.27
14.1,82741.11
7.3,62241.86
6.2,58442.98
5.6,56483.01
7.0,60616.73
10.7,71965.15
9.9,70031.74
7.5,62249.69
9.6,69275.02
14.6,83810.52
7.1,61287.53
15.0,84575.02
7.2,61536.85
5.9,57656.51
2.3,47291.56
14.0,81632.3
1.2,43867.63
14.8,84642.48
9.5,68608.0
5.6,56482.28
4.2,52314.37
4.8,54383.33
1.6,44523.98
10.2,70187.48
6.8,60818.5
14.4,83377.34
9.5,68067.12
4.7,53948.62
3.1,49462.88
12.7,77778.34
3.5,50634.11
6.6,59607.02
7.3,61918.66
4.6,53560.74
2.2,46560.22
4.8,54665.59
14.8,84261.61
12.8,78811.88
2.2,46610.31
5.8,57551.58
9.5,68499.99
10.9,72452.14
5.5,56345.65
2.2,46904.39
6.0,57525.73
6.6,59367.65
2.4,47281.6
6.7,60141.41
1.2,43817.49
12.5,77595.26
10.4,71187.33
13.8,81677.89
7.0,60896.19
5.6,56391.1
5.2,55171.46
6.7,59857.01
9.9,69961.46
4.5,53332.83
13.3,80129.44
5.2,55977.62
1.4,43783.33
12.2,77031.07
7.0,61272.14
1.9,45795.93
6.6,59476.79
3.4,50556.28
13.0,78984.06
13.7,80948.56
8.3,64515.26
13.5,80856.45
5.1,55025.2
11.2,73720.74
13.3,79686.79
10.1,69970.29
6.4,59120.37
6.2,58496.01
1.8,45188.68
7.6,63178.65
5.9,57916.1
11.3,73898.77
6.5,59057.97
2.2,46345.97
13.7,80837.4
12.7,77727.34
6.3,58539.91
10.9,72260.07
10.3,70923.63
11.5,74377.57
7.7,63147.79
6.3,58804.14
6.8,60192.38
2.9,48906.53
2.5,47187.4
13.2,80098.27
14.7,83821.81
3.6,50628.82
10.0,70412.71
3.1,49353.74
3.1,49751.67
12.7,77644.6
11.8,75292.38
10.5,71826.43
7.3,62052.34
7.6,62807.21
3.5,50007.99
10.7,71697.47
2.4,46982.17
3.6,51021.23
14.5,83820.67
1.8,45843.4
13.3,79584.31
1.1,43726.29
3.1,49211.56
9.4,68278.51
14.1,82744.47
13.5,80822.83
6.4,59260.73
11.7,75202.26
10.9,72423.52
4.2,52372.68
13.7,80862.09
13.8,81461.2
3.2,49501.72
12.0,75838.63
1.8,45036.87
13.9,81418.58
9.5,68137.08
2.2,46239.98
7.4,62570.43
9.6,69129.03
9.4,67958.27
7.9,64131.34
7.7,63378.47
4.4,53451.02
13.2,80055.9
4.7,54007.96
2.7,47799.29
2.5,47309.03
2.8,48812.92
4.6,54090.51
7.6,63165.12
12.6,77622.53
7.2,62098.7
6.8,60584.02
13.8,81123.19
12.5,77866.4
5.6,57033.69
13.9,81274.61
2.7,48040.11
8.3,64683.11
12.6,78254.19
8.7,65627.8
4.5,53601.01
5.2,55730.87
4.8,54809.39
13.1,79306.64
13.4,80679.56
4.4,52700.65
2.1,46239.6
4.8,54662.88
2.9,48652.73
14.3,82604.41
9.5,68556.5
7.8,63026.92
3.5,50691.98
7.9,63652.89
7.9,63837.0
7.9,63583.17
3.1,49378.36
7.9,63885.18
7.7,63016.39
2.7,47751.91
8.1,64001.06
3.4,50300.91
5.9,57535.32
3.3,50296.16
6.8,60439.93
1.3,43407.73
4.0,51963.44
1.7,45142.63
2.9,48235.28
8.7,65755.17
9.4,68112.71
11.9,75447.39
2.8,48689.41
2.3,46823.08
8.3,64974.19
9.2,68032.88
8.7,65819.21
8.6,65916.51
11.6,74919.69
8.6,65813.87
13.1,78848.91
10.4,71006.31
3.6,51009.84
6.7,60581.01
13.2,79688.63
6.5,59231.25
12.4,77091.32
2.3,46677.19
2.9,48269.83
6.1,58625.42
10.4,71269.54
13.4,80261.21
13.0,78570.45
5.2,55967.43
6.5,59523.62
11.1,72859.75
6.4,59584.66
2.9,49131.65
14.6,84061.52
6.1,58371.37
5.1,55779.36
1.1,43349.18
7.8,63418.09
14.2,82529.95
3.1,49045.48
6.9,60918.25
2.7,48499.26
12.9,78783.59
14.9,84844.42
13.2,79611.98
8.1,64498.68
8.7,66086.93
7.0,61352.99
9.2,67699.5
9.1,67713.87
5.4,55855.48
1.4,43701.75
12.2,76241.02
2.4,46812.61
9.5,68838.54
3.8,51739.51
13.4,79749.2
9.9,70072.16
9.9,70137.11
2.5,47836.25
1.4,43985.63
12.7,78312.28
14.7,83696.37
2.2,47055.64
3.9,51957.67
11.9,75753.84
6.0,57786.14
6.7,60182.43
13.7,81206.97
2.4,46947.45
1.7,45270.32
4.7,53715.9
14.6,83824.13
10.0,69545.06
2.5,47462.2
7.8,62985.15
2.3,46998.57
14.4,83244.25
3.0,48833.69
13.0,78860.89
14.4,82841.01
14.8,84321.33
1.9,45419.12
12.3,76631.88
8.5,65510.87
12.1,75812.38
10.9,72943.73
12.2,76535.47
7.5,62321.06
7.8,63676.88
2.4,47583.95
7.5,62448.81
5.7,57135.5
6.0,58233.98
4.2,52885.37
12.0,75722.46
10.6,72119.26
1.5,44657.97
1.4,44178.19
14.2,82448.08
1.4,43817.99
10.6,71695.94
7.3,61437.33
3.1,48898.7
8.2,64101.64
2.3,46928.0
2.4,46972.86
13.6,81099.6
10.9,72837.49
4.9,54766.75
15.0,85315.92
2.0,45625.56
8.9,67039.24
6.2,58437.55
10.7,71871.59
7.7,63432.21
14.9,84457.73
13.4,80100.27
6.0,57666.27
3.8,51742.49
10.0,69857.39
12.1,76238.61
8.7,66332.94
1.0,43306.95
2.8,48858.22
10.1,70187.1
11.1,73719.85
12.2,76911.42
14.0,81524.18
8.8,66460.29
13.9,81849.94
5.7,57421.12
8.5,65246.41
6.3,58682.1
12.4,76805.87
13.6,81237.61
3.5,50857.74
9.8,68996.92
3.9,51726.19
6.2,58892.83
5.6,57276.1
4.5,53747.2
7.4,62404.63
13.4,80302.16
11.4,74634.65
10.4,71075.61
8.2,64194.8
6.9,60486.87
3.1,49456.63
8.4,65312.08
11.5,74361.52
4.2,52553.72
6.3,58605.79
5.8,57415.69
3.4,50588.26
2.5,47508.42
11.3,73753.11
13.1,78813.02
12.2,76382.77
8.5,65154.13
7.0,61149.3
11.5,74616.07
6.0,58333.12
6.8,60012.25
11.1,73037.79
9.7,69164.55
1.7,45163.03
15.0,85460.69
7.6,63280.47
9.0,67260.87
11.7,75352.45
4.6,54262.2
2.2,46723.04
7.9,64189.01
13.6,81059.88
3.0,49412.99
6.1,57843.1
4.7,53907.6
1.1,42951.24
1.0,42917.14
13.7,81041.53
3.1,48894.21
1.7,45438.97
2.0,45725.19
11.9,76024.56
1.3,43468.7
2.2,46478.95
11.0,73334.39
4.6,53893.25
11.7,75112.55
12.9,78235.13
8.1,64751.44
3.8,50906.7
12.4,77422.45
7.2,62038.97
3.5,50130.35
10.6,72133.63
12.3,76691.71
6.7,60355.87
11.1,73477.93
4.8,54484.36
5.7,57540.22
14.7,83851.61
4.0,51837.0
9.8,69791.19
4.6,53984.33
4.9,55037.64
9.8,69723.14
9.8,69875.42
4.2,52698.82
6.3,58446.9
1.7,45192.66
4.9,54639.04
11.2,73410.88
9.8,69665.61
9.0,67122.78
13.0,78648.74
13.4,79729.96
14.1,82538.03
5.1,55104.26
6.8,60734.15
6.1,58739.54
11.6,74853.8
9.2,67146.87
13.5,80503.74
13.6,80827.52
13.1,79134.87
2.6,47590.99
9.6,68327.6
12.9,78557.44
9.9,69479.87
13.7,81542.08
10.0,70050.61
8.0,64053.27
9.9,70187.43
14.4,83316.44
10.6,71863.38
14.3,83286.63
12.5,77197.91
13.4,80130.67
8.3,65298.36
5.7,56610.95
3.6,51293.69
4.0,51947.33
6.0,57582.0
5.8,57838.97
2.7,48031.11
5.2,55102.56
11.2,73454.85
10.6,72274.49
9.3,68363.23
9.0,66970.26
13.5,80337.83
13.3,80386.68
5.6,56686.63
5.5,56526.79
14.9,85191.05
11.5,74439.92
9.8,69809.07
12.1,76752.85
12.7,78483.42
10.0,70386.12
7.2,62088.58
14.5,83204.57
4.2,52766.82
5.8,57618.31
13.1,78827.17
8.0,63890.57
12.3,76442.86
4.4,53119.0
13.5,80195.87
6.9,60681.64
6.8,59988.26
3.7,50821.98
11.8,75573.94
5.1,55150.5
5.8,57213.04
13.9,81607.1
12.0,75598.67
6.7,59767.19
6.0,58208.1
5.0,55492.92
10.1,70417.42
7.7,62948.99
8.9,66359.69
12.1,76035.68
4.2,52185.32
2.3,46433.43
12.1,76285.64
14.8,84785.64
8.2,65093.4
1.3,43649.98
2.3,46717.22
3.0,49287.16
12.8,78852.31
6.2,58440.43
11.0,72631.31
12.7,77628.63
2.3,47059.3
4.6,54133.81
3.9,51701.32
10.9,72942.18
9.3,67903.31
11.9,76087.6
1.1,43698.32
15.0,85440.15
11.2,73548.91
9.7,69483.18
2.1,46137.53
14.8,84022.83
8.0,64191.25
7.2,61224.81
4.2,52487.73
12.8,77963.45
1.5,44527.92
4.2,52863.6
2.9,48666.05
12.3,77096.01
3.9,51769.51
